"","ID","List","Type","Pair.x","Word","Correct.x","Confidence.x","Tiredness","Enjoyment","Pair.y","Correct.y","Confidence.y","Select1","Select2","Select3"
"162",2581948,2,"MM",4,"domine",1,6,4,5,4,1,1,FALSE,FALSE,FALSE
"163",2581948,2,"MM",7,"mizar",1,6,4,5,7,1,2,FALSE,FALSE,FALSE
"164",2581948,2,"MM",14,"oser",1,7,4,5,14,0,1,FALSE,FALSE,FALSE
"165",2581948,2,"MM",19,"furets",0,5,4,5,19,1,2,FALSE,FALSE,FALSE
"166",2581948,2,"MM",23,"peney",1,6,4,5,23,1,3,FALSE,FALSE,FALSE
"167",2581948,2,"MM",27,"teson",1,7,4,5,27,1,1,FALSE,FALSE,FALSE
"168",2581948,2,"MM",32,"goler",0,6,4,5,32,1,1,FALSE,FALSE,FALSE
"169",2581948,2,"MM",34,"lonay",1,6,4,5,34,1,2,FALSE,FALSE,FALSE
"170",2581948,2,"MM",39,"bovy",1,6,4,5,39,1,1,FALSE,FALSE,FALSE
"171",2581948,2,"MM",47,"vazan",1,6,4,5,47,1,2,FALSE,FALSE,FALSE
"172",2581948,2,"MM",48,"cyche",1,6,4,5,48,1,2,FALSE,FALSE,FALSE
"173",2581948,2,"MM",49,"rodder",1,7,4,5,49,1,2,FALSE,FALSE,FALSE
"174",2581948,2,"MM",51,"forem",0,7,4,5,51,0,2,FALSE,FALSE,FALSE
"175",2581948,2,"MM",53,"reebin",1,6,4,6,53,0,2,FALSE,FALSE,FALSE
"176",2581948,2,"MM",55,"heco",1,6,4,5,55,0,2,FALSE,FALSE,FALSE
"177",2581948,2,"MM",61,"raymive",1,6,4,6,61,1,2,FALSE,FALSE,FALSE
"178",2581948,2,"MM",62,"ceakie",1,7,4,5,62,1,3,FALSE,FALSE,FALSE
"179",2581948,2,"MM",64,"coctee",1,6,4,5,64,1,9,FALSE,FALSE,FALSE
"180",2581948,2,"MM",67,"lopel",1,4,4,4,67,0,3,FALSE,FALSE,FALSE
"181",2581948,2,"MP",2,"cavy",1,6,4,5,2,0,1,FALSE,FALSE,FALSE
"182",2581948,2,"MP",3,"perste",1,6,4,5,3,0,3,FALSE,FALSE,FALSE
"183",2581948,2,"MP",5,"muden",1,7,4,5,5,0,2,FALSE,FALSE,FALSE
"184",2581948,2,"MP",9,"pidekin",0,7,4,5,9,0,3,FALSE,FALSE,FALSE
"185",2581948,2,"MP",20,"bipin",1,6,4,5,20,1,3,FALSE,FALSE,FALSE
"186",2581948,2,"MP",24,"fofry",1,7,4,5,24,0,2,FALSE,FALSE,FALSE
"187",2581948,2,"MP",25,"ruter",1,6,4,5,25,0,7,FALSE,FALSE,FALSE
"188",2581948,2,"MP",30,"fupon",1,7,4,5,30,0,3,FALSE,FALSE,FALSE
"189",2581948,2,"MP",36,"tuyete",1,7,4,5,36,0,1,FALSE,FALSE,FALSE
"190",2581948,2,"MP",37,"fucend",1,6,4,5,37,0,1,FALSE,FALSE,FALSE
"191",2581948,2,"MP",41,"haddan",1,5,4,5,41,0,1,FALSE,FALSE,FALSE
"192",2581948,2,"MP",43,"pendee",1,6,4,5,43,0,2,FALSE,FALSE,FALSE
"193",2581948,2,"MP",45,"tanay",1,7,4,5,45,1,2,FALSE,FALSE,FALSE
"194",2581948,2,"MP",46,"mumic",1,6,4,5,46,1,3,FALSE,FALSE,FALSE
"195",2581948,2,"MP",50,"saper",1,6,4,5,50,0,2,FALSE,FALSE,FALSE
"196",2581948,2,"MP",54,"meapon",1,8,4,5,54,1,4,FALSE,FALSE,FALSE
"197",2581948,2,"MP",56,"counger",1,7,4,5,56,0,1,FALSE,FALSE,FALSE
"198",2581948,2,"MP",59,"hapel",1,4,4,2,59,1,3,FALSE,FALSE,FALSE
"199",2581948,2,"MP",63,"bemble",1,8,4,5,63,1,2,FALSE,FALSE,FALSE
"200",2581948,2,"MP",65,"miggir",1,9,4,5,65,1,1,FALSE,FALSE,FALSE
"201",2584043,1,"MM",2,"cavy",1,7,7,7,2,1,8,FALSE,FALSE,FALSE
"202",2584043,1,"MM",3,"perste",1,7,6,6,3,1,7,FALSE,FALSE,FALSE
"203",2584043,1,"MM",5,"muden",1,7,6,6,5,0,7,FALSE,FALSE,FALSE
"204",2584043,1,"MM",9,"pidekin",1,6,7,6,9,0,8,FALSE,FALSE,FALSE
"205",2584043,1,"MM",20,"bipin",1,9,7,8,20,0,6,FALSE,FALSE,FALSE
"206",2584043,1,"MM",24,"fofry",1,7,7,7,24,1,7,FALSE,FALSE,FALSE
"207",2584043,1,"MM",25,"ruter",1,6,6,6,25,1,7,FALSE,FALSE,FALSE
"208",2584043,1,"MM",30,"fupon",1,7,5,6,30,1,7,FALSE,FALSE,FALSE
"209",2584043,1,"MM",36,"tuyete",1,6,7,6,36,1,6,FALSE,FALSE,FALSE
"210",2584043,1,"MM",37,"fucend",1,6,6,6,37,1,8,FALSE,FALSE,FALSE
"211",2584043,1,"MM",41,"haddan",1,7,6,6,41,0,8,FALSE,FALSE,FALSE
"212",2584043,1,"MM",43,"pendee",1,6,7,7,43,1,7,FALSE,FALSE,FALSE
"213",2584043,1,"MM",45,"tanay",1,7,7,7,45,0,8,FALSE,FALSE,FALSE
"214",2584043,1,"MM",46,"mumic",1,6,7,6,46,1,7,FALSE,FALSE,FALSE
"215",2584043,1,"MM",50,"saper",1,6,6,6,50,1,5,FALSE,FALSE,FALSE
"216",2584043,1,"MM",54,"meapon",0,6,7,7,54,1,7,FALSE,FALSE,FALSE
"217",2584043,1,"MM",56,"counger",1,6,7,7,56,1,8,FALSE,FALSE,FALSE
"218",2584043,1,"MM",59,"hapel",1,6,7,7,59,1,6,FALSE,FALSE,FALSE
"219",2584043,1,"MM",63,"bemble",1,7,6,6,63,1,6,FALSE,FALSE,FALSE
"220",2584043,1,"MM",65,"miggir",1,6,6,7,65,0,9,FALSE,FALSE,FALSE
"221",2584043,1,"MP",1,"winpen",1,6,7,6,1,0,8,FALSE,FALSE,FALSE
"222",2584043,1,"MP",4,"domine",1,7,7,7,4,0,6,FALSE,FALSE,FALSE
"223",2584043,1,"MP",7,"mizar",1,7,6,6,7,0,8,FALSE,FALSE,FALSE
"224",2584043,1,"MP",14,"oser",0,7,7,7,14,0,8,FALSE,FALSE,FALSE
"225",2584043,1,"MP",19,"furets",1,7,5,6,19,1,7,FALSE,FALSE,FALSE
"226",2584043,1,"MP",23,"peney",1,6,6,6,23,0,8,FALSE,FALSE,FALSE
"227",2584043,1,"MP",27,"teson",0,7,7,7,27,0,5,FALSE,FALSE,FALSE
"228",2584043,1,"MP",32,"goler",1,7,6,6,32,0,7,FALSE,FALSE,FALSE
"229",2584043,1,"MP",34,"lonay",1,7,6,6,34,0,7,FALSE,FALSE,FALSE
"230",2584043,1,"MP",39,"bovy",0,5,6,5,39,1,6,FALSE,FALSE,FALSE
"231",2584043,1,"MP",47,"vazan",1,6,6,6,47,0,6,FALSE,FALSE,FALSE
"232",2584043,1,"MP",48,"cyche",1,7,7,7,48,0,8,FALSE,FALSE,FALSE
"233",2584043,1,"MP",49,"rodder",1,7,5,6,49,1,8,FALSE,FALSE,FALSE
"234",2584043,1,"MP",51,"forem",1,7,6,7,51,0,7,FALSE,FALSE,FALSE
"235",2584043,1,"MP",53,"reebin",1,7,6,7,53,1,8,FALSE,FALSE,FALSE
"236",2584043,1,"MP",55,"heco",1,7,6,6,55,0,7,FALSE,FALSE,FALSE
"237",2584043,1,"MP",61,"raymive",1,6,7,7,61,0,5,FALSE,FALSE,FALSE
"238",2584043,1,"MP",62,"ceakie",1,7,6,6,62,0,9,FALSE,FALSE,FALSE
"239",2584043,1,"MP",64,"coctee",1,5,6,6,64,0,5,FALSE,FALSE,FALSE
"240",2584043,1,"MP",67,"lopel",0,7,6,6,67,0,6,FALSE,FALSE,FALSE
"241",2610180,2,"MM",1,"winpen",1,5,3,6,1,1,4,FALSE,FALSE,FALSE
"242",2610180,2,"MM",4,"domine",1,5,6,7,4,0,6,FALSE,FALSE,FALSE
"243",2610180,2,"MM",7,"mizar",1,5,4,6,7,0,4,FALSE,FALSE,FALSE
"244",2610180,2,"MM",14,"oser",1,3,3,6,14,1,4,FALSE,FALSE,FALSE
