"","ID","PublicID","gender","Age","category"
"422",3400943,"x8jcblyl","Female",10.0833333333333,"10-12"
"423",3403016,"yuj2bk4p","Male",16,"16-18"
"424",3403623,"e1tvyyik","Rather not say",11.6666666666667,"10-12"
"425",3404575,"8y6znpje","Female",12.25,"12-14"
"426",3405618,"zr933689","Female",14.5,"14-16"
"427",3408562,"n8chb6un","Female",15.6666666666667,"14-16"
"428",3409946,"be60khu6","Female",13.75,"12-14"
"429",3427254,"yww8qfma","Female",13.3333333333333,"12-14"
"430",3428653,"d2a93srf","Female",13.3333333333333,"12-14"
"431",3430805,"4nwbmfjn","Female",14.3333333333333,"14-16"
"432",3430848,"ieju5fd8","Male",13.1666666666667,"12-14"
"433",3430979,"44o8rwqz","Male",12.1666666666667,"12-14"
"434",3443125,"7fu08p4j","Male",13.8333333333333,"12-14"
"435",3443234,"eej63n3r","Male",14,"14-16"
"436",3443534,"mqamd0a9","Male",11.75,"10-12"
"437",3443564,"7wkqh4jt","Male",14,"14-16"
"438",3443839,"pqwq4lrx","Male",14,"14-16"
"439",3454027,"91t1rksd","Male",15,"14-16"
"440",3471917,"gwrevjvq","Female",14.9166666666667,"14-16"
"441",3472335,"n7ozxa0e","Female",15.3333333333333,"14-16"
"442",3473371,"fda09enb","Female",14.4166666666667,"14-16"
"443",3476831,"56sd1zbo","Male",10.3333333333333,"10-12"
